Unnamed: 0,loser,loser_country,loser_group_rank,loser_group_win,loser_group_loss,loser_score,winner,winner_country,winner_group_rank,winner_group_win,winner_group_loss,winner_score,Year,Tournament,Unnamed: 0.1
0,RSG Singapore,Singapore,2,1,1,0,Bigetron Alpha,Indonesia,3,0,2,2,2021,MSC,
1,IDONOTSLEEP Esports,Thailand,3,0,2,1,Impunity KH,Cambodia,2,1,1,2,2021,MSC,
2,Niightmare Esports,Laos,3,0,2,0,TODAK,Malaysia,2,1,1,2,2021,MSC,
3,Cyber EXE,,3,0,2,0,EVOS SG,Singapore,2,1,1,2,2021,MSC,
4,RSG Malaysia,Malaysia,1,2,0,0,Blacklist International,Philippines,1,2,0,2,2021,MSC,
5,Execration,Philippines,1,2,0,1,EVOS Legends,Indonesia,1,2,0,2,2021,MSC,
6,EVOS Legends,Indonesia,1,2,0,0,Blacklist International,Philippines,1,2,0,3,2021,MSC,
7,TODAK,Malaysia,2,1,1,0,Bigetron Alpha,Indonesia,3,0,2,2,2021,MSC,
8,Bigetron Alpha,Indonesia,3,0,2,1,RSG Malaysia,Malaysia,1,2,0,2,2021,MSC,
9,EVOS SG,Singapore,2,1,1,0,Impunity KH,Cambodia,2,1,1,2,2021,MSC,
10,Impunity KH,Cambodia,2,1,1,1,Execration,Philippines,1,2,0,2,2021,MSC,
11,RSG Malaysia,Malaysia,1,2,0,0,Execration,Philippines,1,2,0,2,2021,MSC,
12,EVOS Legends,Indonesia,1,2,0,1,Execration,Philippines,1,2,0,3,2021,MSC,
13,Blacklist International,Philippines,1,2,0,1,Execration,Philippines,1,2,0,4,2021,MSC,
0,RSG Slate SG,Singapore,1,2,0,0,BURN x FLASH,Cambodia,2,1,1,3,2023,MSC,
1,Fire Flux Impunity,Turkey,2,1,1,0,Blacklist International,Philippines,1,2,0,3,2023,MSC,
2,BURN x FLASH,Cambodia,2,1,1,1,Blacklist International,Philippines,1,2,0,3,2023,MSC,
3,TODAK,Malaysia,2,1,1,1,ECHO,Philippines,1,2,0,3,2023,MSC,
4,EVOS Legends,Indonesia,2,1,1,0,ONIC,Indonesia,1,2,0,3,2023,MSC,
5,ECHO,Philippines,1,2,0,0,ONIC,Indonesia,1,2,0,3,2023,MSC,
6,Blacklist International,Philippines,1,2,0,2,ONIC,Indonesia,1,2,0,4,2023,MSC,
