id,odds,win_loss_amount,bet_with,bet_amount,bet_against,bet_date,game,win_loss_code,tournament
0YMKCk6Y5QUZnDbp7S2t,2.23,-25.0,Cynical,25.0,THE HERO DETA,2024-07-24,valorant,LOSS,challengers_indonesia
0k7tHjYS34MJKaB1cX4C,1.15,575.0,SRG,500.0,See You Soon,2024-07-30,mlbb,WIN,snapdragon_pro_series
0zLGxYeAFZvzClreDIR6,2.05,-85.0,SRG,85.0,SYS,2024-07-03,mlbb,LOSS,msc
1064tTZCzzjnWD57hVlx,2.2,-85.0,Lotus,85.0,HI,2024-07-14,hok,LOSS,king_growth_league
1WZaOGDAgYZ2wvCPoO2o,2.05,52.25,GIANTX,25.0,Heretics,2024-07-21,lol,WIN,lec
1athgttDn3T2QnViVB7t,2.19,186.15,Douyu,85.0,JD Gaming,2024-07-18,hok,WIN,king_pro_league
2BRSfFwiBMXInwH0j97Q,1.24,105.4,Vitality,85.0,Falcons Vega,2024-07-27,mlbb,WIN,mwi
2HaD9DZCbPkQx0zclWhi,2.58,-85.0,Barca,85.0,Los Heretics,2024-07-25,lol,LOSS,lvp_superliga
2PkUjUNlJgLKoGknrmPs,3.07,260.95,Team WE,85.0,Wolves,2024-07-18,hok,WIN,king_pro_league
3O0AKG5F4uWS036nD9Dq,4.1,-85.0,NIP Flash,85.0,Evos Glory,2024-07-04,mlbb,LOSS,msc
3cTAmD52v9qgWpW7qoK0,6.12,-25.0,CyberKing,25.0,Fancy United,2024-07-17,valorant,LOSS,challengers_vietnam
3woINSab6oF7xwNPNL98,3.3,280.5,Falcon,85.0,Cloud9,2024-07-03,mlbb,WIN,msc
41F8qDmtqZDvSpKMCAUp,4.6,-85.0,Fire Flux,85.0,NIP Flash,2024-07-03,mlbb,LOSS,msc
4dtpN1J1CVRjeTeRX2FQ,2.36,-85.0,Royal Never Give Up,85.0,LGD NBW,2024-07-17,hok,LOSS,king_pro_league
4tiaYzDAkAGv72m7KgyF,2.68,-25.0,Karmine Corp,25.0,Fnatic,2024-07-16,valorant,LOSS,champions_tour_emea
51MshILSidk3woRkUyPk,2.45,61.25,IHC,25,Brute Force,2024-06-29,mlbb,WIN,msc
54sF1FVVomkbAz2IiMwU,2.77,-85.0,UU Gamers,85.0,Mighty Tiger,2024-07-20,hok,LOSS,king_growth_league
5BizzkCFIlQiGPPwhqL9,2.6,65.0,FUT,25.0,Misa,2024-07-20,lol,WIN,TCL
5VK9lQ0LRLBZpnnGA98p,2.27,56.75,L1GA,25.0,Night Pulse,2024-07-26,dota2,WIN,lb_masters
5YlZlsnUiZvACibMEP9i,2.12,53.0,Blinn,25.0,DarkZero,2024-07-24,valorant,WIN,challengers_north_america
5yCc1bBG9CXsMtRbL3MC,2.64,224.4,Dark Passage,85.0,Besiktas,2024-07-24,lol,WIN,tcl
65A3FndX5O9NlZxrt928,2.28,57.0,Stellae,25.0,TBK,2024-07-16,valorant,WIN,challengers_brazil
6DYKjx2zidPvsAafUoqG,2.05,-200.0,NIP Flash,200.0,HomeBois,2024-07-28,mlbb,LOSS,snapdragon_pro_series
70lZp3QDYgXJfatItqzT,2.04,173.4,Oh my God Academy,85.0,WE Academy,2024-07-27,lol,WIN,ldl
7S4xwE2bfiAVKjvTYiLg,3.12,-25.0,TSM,25.0,M80,2024-07-23,valorant,LOSS,challengers_north_america
8JVdPXOYB0CNXxsZmSPp,2.01,170.85,UU Gamers,85.0,BOA,2024-07-22,hok,WIN,king_growth_league
8qNBYpc9WJXvyf2VXO4b,2.11,52.75,MOUZ,25.0,nouns,2024-07-26,dota2,WIN,elite_league
91yIo66mmXALAoicgqXt,4.26,-25.0,Trained to Kill,25.0,HomeBois,2024-06-29,mlbb,LOSS,msc
9FPLeL7KhPuhh8HlHWcL,2.16,54.0,BOOM,25.0,MOUZ,2024-07-28,dota2,WIN,elite_league
9LLUk9Ww3RUDXsZLYtGk,6.12,-25.0,Carti,25.0,Oasis,2024-07-17,valorant,LOSS,challengers_philippines
9UkOai8mIn6kCy1xJjqH,2.36,-85.0,Undefeated United,85.0,Kai Lun,2024-07-28,hok,LOSS,king_growth_league
AOJMzJIzX4HVwj28bchq,2.77,-85.0,Xianyou,85.0,Qing Jiu Club,2024-07-14,hok,LOSS,king_growth_league
BJh4jnD2BBWsHO7J8DmS,7.44,-25.0,XERXIA,25.0,FULL SENSE,2024-07-18,valorant,LOSS,challengers_thailand
BhV0yZhbjSSWjoCcFd7m,2.38,-85.0,Xianyou,85.0,Cloud9,2024-07-07,mlbb,LOSS,msc
C7UrZPh7I7p8IiqIRy9x,7.15,-25.0,NIP Flash,25.0,Falcons AP.Bren,2024-08-01,mlbb,LOSS,snapdragon_pro_series
D8ozEnTHBeHV6oQWYcrh,2.09,177.65,LNG,85.0,JD Gaming,2024-07-24,lol,WIN,lpl
DEGIw23eBU6EdF9p6TuF,2.34,-25.0,LOUD,25.0,Vivo Keyd Stars,2024-07-22,lol,LOSS,cblol
DQkgREfJBCa6pSi1kson,2.74,-25.0,nouns,25.0,1WIN,2024-07-28,dota2,LOSS,elite_league
DaBi1mwIX0YRMA30RV4m,2.95,-85.0,Anyone's Legend,85.0,Top Esports,2024-07-25,lol,LOSS,lpl
DdgQvJRFUHicUEBPNaBB,2.79,69.75,Fnatic,25.0,G2,2024-07-22,lol,WIN,lec
E9oo4zYlWbe5HzzKSfZl,2.77,-85.0,Dragon Ranger,85.0,KuaiShow,2024-07-19,hok,LOSS,king_pro_league
EgKjkCPfWsR56vv0phPC,4.45,-25.0,trashcan,25.0,GONext,2024-07-26,valorant,LOSS,challengers_east
FIRmoO2m9PGzdlwjJrcw,1.2,-85.0,Falcons AP.Bren,85.0,SRG,2024-07-14,mlbb,LOSS,msc
FtDCK2MhA4NS3DS9iyyD,3.25,276.25,Victorious,85.0,The Young,2024-07-13,hok,WIN,king_growth_league
G02vN9W36ITRliQhsbed,2.2,-85.0,Draw,85.0,Falcon&Xianyou,2024-07-07,mlbb,LOSS,msc
G0QEGqthBkazfKFlnaXS,2.46,-85.0,Nongshim Redforce,85.0,FearX,2024-07-24,lol,LOSS,lck
GUM1JTxLkpqv8TvMAqwd,2.69,-85.0,eStar Pro,85.0,KuaiShow,2024-07-12,hok,LOSS,king_pro_league
H2NjGKBjkG5qaGr1DfGR,1.24,105.4,Fnatic Onic,85.0,Omega,2024-07-30,mlbb,WIN,snapdragon_pro_series
HR6m49U5Q6ucHOqeZZEr,2.01,-85.0,The Young Ranger,85.0,Xianyou,2024-07-20,hok,LOSS,king_growth_league
HlGwVmmMi4sdUMpCBc4G,2.56,64.0,G2,25.0,Sentinels,2024-07-15,valorant,WIN,champions_tour_americas
HmXdFD2xv6Hhg0TbCWOP,2.07,51.75,Fnatic,25.0,SK Gaming,2024-07-14,lol,WIN,lec
IXQjgJaLgvReRrgX3duJ,2.22,-25.0,Brute Force,25,HomeBois,2024-06-29,mlbb,LOSS,msc
JLE1sPyUo54lJfssZQJe,7.22,-25.0,HomeBois,25.0,Fnatic Onic,2024-08-01,mlbb,LOSS,snapdragon_pro_series
