,id,left_team_name,date,right_team_name,draw_odds,winner,game,left_odds,right_odds
0,09aaWkDD28hLafzqwtmR,KuaiShow,Jul 12,eStar Pro,,KuaiShow,hok,1.6,2.17
1,0aeuGqmVVfFXbWqbIFIb,KRU,Jul 9,Vikings KR,,Vikings KR,csgo,1.6,2.18
2,13J6YPCwRZH4FfCc31jF,Vitality,Jul 17,M80,,,csgo,1.09,6.34
3,1JP5VzuUjCzgHopxqA7y,Andre Petroski,Jul 13,Josh Fremd,,Andre Petroski,mma,1.82,1.87
4,1TJIm2NIf0HMnokG3i1l,Dragon Ranger,Jul 11,Talent,,Dragon Ranger,hok,2.17,1.6
5,2RkxiJSENZg29pDJVIE3,QoR,Jul 10,Winthrop University,,QoR,valorant,1.46,2.5
6,2jdFKAitvGZd8TRdsujV,Wolves,Jul 13,Stand Point,,Stand Point,codm,1.06,6.84
7,33O6IsgkpXWLkleRSnzE,Victorious,Jul 13,The Young,,Victorious,hok,3.25,1.28
8,37VNKXI1nApyEOyDGNJM,Cody Gibson,Jul 20,Brian Kelleher,,,mma,1.37,2.83
9,3Mos1XpDoODQTiB6VWZy,Mike Tyson,Nov 16,Jake Paul,,,boxing,2.83,1.37
10,3hkLWNEcLVUtULOHGfAc,Cruelty,Jul 9,Karn & Co,,Karn & Co,r6,1.52,2.34
11,4iIWxP74CqprhMO3QIPj,Xianyou,Jul 14,Qing Jiu Club,,,hok,2.77,1.38
12,51agn8KNGmmNcAnVS7wp,SNOOZE,Jul 9,Dynasty,,SNOOZE,lol,1.63,2.09
13,5p25Afw7Ol1SKC3jxvpg,Oxygen,Jul 9,SAD,,Oxygen,valorant,1.14,4.79
14,5xT0Ur2saPX36Y2xpGDm,WanZhen,Jul 13,Kai Lun,,Kai Lun,hok,2.3,1.53
15,66Z3Sp9lG79x6pQ9xNZr,KeepBest,Jul 11,J Team,,KeepBest,wildrift,2.5,1.44
16,6OiODvT4RnyW9jfgiHxW,Lotus,Jul 13,BOA,,Lotus,hok,2.77,1.38
17,6U4i8lWy8wEJtN4PLheX,Heroic,Jul 10,LGD,1.95,Draw,dota2,2.66,5.12
18,6XJUDOIp9YiJpbOCgJra,LGD NBW,Jul 12,Weibo,,Weibo,hok,3.46,1.25
19,6ZvziXEw5zgNMTQAn4BZ,Made in Thailand,Jul 10,Sharper,,Made in Thailand,valorant,1.23,3.65
20,6iZ8i0qMhfYl4ZE9DpQi,Amanda Lemos,Jul 21,Virna Jandiroba,,,mma,2.05,1.68
21,6pzbjmOw4TcIvcSsweOX,Jean Silva,Jul 14,Drew Dober,,Jean Silva,mma,1.84,1.86
22,707hNj8k9ImgjTSCCifU,EDward Gaming,Jul 11,Douyu,,Douyu,hok,2.03,1.69
23,73Dywcji04613Qt70zz5,Hype,Jul 11,Dusty Roots,,Hype,csgo,1.27,3.37
24,7jFQo7aS4vNDlCBjDbSY,Mighty Tiger,Jul 13,Mad Dog,,Mad Dog,hok,1.71,1.99
25,91NFcBgc78hot1u1vc9f,GLORE,Jul 9,BRUTE,,BRUTE,lol,1.83,1.83
26,9DVfu15uR1mmHCcMn4Er,KRC Genk,Jul 9,A One Man Army,,A One Man Army,lol,12.13,1.01
27,9EB5yK4or1u6fHBdLqV3,Lucie Pudilova,Jul 20,Luana Carolina,,,mma,1.82,1.87
28,9ZkPPXM5kMDuqSsKylpO,Ange Loosa,Jul 14,Gabriel Bonfim,,,mma,3.59,1.24
