id,left_team_name,date,right_team_name,draw_odds,winner,game,left_odds,right_odds
09aaWkDD28hLafzqwtmR,KuaiShow,Jul 12,eStar Pro,,KuaiShow,hok,1.60,2.17
0ZcAaRywujP41vluPOwt,Doosan Bears,Jul 18,Lotte Giants,,,baseball,1.80,1.90
0aeuGqmVVfFXbWqbIFIb,KRU,Jul 9,Vikings KR,,Vikings KR,csgo,1.60,2.18
13J6YPCwRZH4FfCc31jF,Vitality,Jul 17,M80,,,csgo,1.09,6.34
1JP5VzuUjCzgHopxqA7y,Andre Petroski,Jul 13,Josh Fremd,,Andre Petroski,mma,1.82,1.87
1TJIm2NIf0HMnokG3i1l,Dragon Ranger,Jul 11,Talent,,Dragon Ranger,hok,2.17,1.60
295GF3Bfez3aEAkpJyzQ,T1,Jul 20,Hanwha Life,,,lol,1.87,1.87
2RkxiJSENZg29pDJVIE3,QoR,Jul 10,Winthrop University,,QoR,valorant,1.46,2.50
2jdFKAitvGZd8TRdsujV,Wolves,Jul 13,Stand Point,,Stand Point,codm,1.06,6.84
2zyI7SBsu8OzDwQkCCyG,Frank,Jul 19,West Point Ph,,,lol,1.02,10.52
33O6IsgkpXWLkleRSnzE,Victorious,Jul 13,The Young,,Victorious,hok,3.25,1.28
37VNKXI1nApyEOyDGNJM,Cody Gibson,Jul 20,Brian Kelleher,,,mma,1.37,2.83
3AZafaN83VjAoyA7WZtB,Diablos Rojos Del Mexico,Jul 18,Tigres De Quintana Roo,,,baseball,1.30,3.21
3Mos1XpDoODQTiB6VWZy,Mike Tyson,Nov 16,Jake Paul,,,boxing,2.83,1.37
3hkLWNEcLVUtULOHGfAc,Cruelty,Jul 9,Karn & Co,,Karn & Co,r6,1.52,2.34
3lp9BX295HKQu2ceIx9I,LOUD,Jul 20,KaBuM,,,lol,1.52,2.44
4ErEoOh7ssl5RN8YQG8h,AXIZ CREST,Jul 20,V3,,,lol,1.34,2.89
4iIWxP74CqprhMO3QIPj,Xianyou,Jul 14,Qing Jiu Club,,Qing Jiu Club,hok,2.77,1.38
51agn8KNGmmNcAnVS7wp,SNOOZE,Jul 9,Dynasty,,SNOOZE,lol,1.63,2.09
5HLPdszdFGnI36yjFJmO,100%,Jul 17,Espartaco,,,rocket-league,1.70,2.01
5p25Afw7Ol1SKC3jxvpg,Oxygen,Jul 9,SAD,,Oxygen,valorant,1.14,4.79
5xT0Ur2saPX36Y2xpGDm,WanZhen,Jul 13,Kai Lun,,Kai Lun,hok,2.30,1.53
66Z3Sp9lG79x6pQ9xNZr,KeepBest,Jul 11,J Team,,KeepBest,wildrift,2.50,1.44
6OiODvT4RnyW9jfgiHxW,Lotus,Jul 13,BOA,,Lotus,hok,2.77,1.38
6U4i8lWy8wEJtN4PLheX,Heroic,Jul 10,LGD,1.95,Draw,dota2,2.66,5.12
6XJUDOIp9YiJpbOCgJra,LGD NBW,Jul 12,Weibo,,Weibo,hok,3.46,1.25
6ZvziXEw5zgNMTQAn4BZ,Made in Thailand,Jul 10,Sharper,,Made in Thailand,valorant,1.23,3.65
6iZ8i0qMhfYl4ZE9DpQi,Amanda Lemos,Jul 21,Virna Jandiroba,,,mma,2.05,1.68
6k3DW2KER5vkBNDX46rP,Soniqs,Jul 17,Thrive,,,r6,1.02,9.65
6mTfKTGw11aLx2DUngNR,T1,Jul 20,Hanwha Life,,,lol,1.85,1.89
6nXbdUnaZqP4webNyXSE,100%,Jul 17,Endpoint CeX,,,rocket-league,2.19,1.59
6pzbjmOw4TcIvcSsweOX,Jean Silva,Jul 14,Drew Dober,,Jean Silva,mma,1.84,1.86
707hNj8k9ImgjTSCCifU,EDward Gaming,Jul 11,Douyu,,Douyu,hok,2.03,1.69
73Dywcji04613Qt70zz5,Hype,Jul 11,Dusty Roots,,Hype,csgo,1.27,3.37
7XXVhhMkYe5E3qKbHNBT,LG x Complexity,Jul 17,Resolve,,,rocket-league,1.42,2.61
7jFQo7aS4vNDlCBjDbSY,Mighty Tiger,Jul 13,Mad Dog,,Mad Dog,hok,1.71,1.99
7uNjdMcWq0JFDosqPMIr,EGN,Jul 20,GTZ,,,lol,1.22,3.65
8TN1d4FWDcQJEGzCPBuT,MAX,Jul 20,Top Esports Challengers,,,lol,1.42,2.60
91NFcBgc78hot1u1vc9f,GLORE,Jul 9,BRUTE,,BRUTE,lol,1.83,1.83
9DVfu15uR1mmHCcMn4Er,KRC Genk,Jul 9,A One Man Army,,A One Man Army,lol,12.13,1.01
9EB5yK4or1u6fHBdLqV3,Lucie Pudilova,Jul 20,Luana Carolina,,,mma,1.82,1.87
9T4Sq7K3zecjNK5QOWyX,Gen.G Global Academy,Jul 19,BRION Challengers,,,lol,2.41,1.48
9ZkPPXM5kMDuqSsKylpO,Ange Loosa,Jul 14,Gabriel Bonfim,,Gabriel Bonfim,mma,3.59,1.24
9jgdVuHuAY5114jBILo7,Fluxo Academy,Jul 9,INTZ Academy,,Fluxo Academy,lol,1.20,3.88
9s1dZQ7hrYsDSvudvYwE,Da'Mon Blackshear,Jul 13,Montel Jackson,,Montel Jackson,mma,2.25,1.57
AIUdhXJNVj69r4Hqj37G,Gameinside,Jul 10,REMBAZA,,Gameinside,csgo,1.99,1.71
AJ2L2o0zhIcDYwYhCHpr,Mariya Agapova,Jul 13,Luana Santos,,Luana Santos,mma,3.76,1.23
AeKiHR3rU8hQREFHUo99,GIANTX,Jul 9,FUT,,FUT,valorant,3.00,1.32
AqC1oJ8De65kMYLHCKtt,Rank El Cuties,Jul 11,Carti,,Carti,valorant,1.80,1.88
AtzYwlkgeFELlLb9NXvI,Solid,Jul 9,Patins da Ferrari,,Solid,csgo,1.79,1.90
AzTEgvk87YQkJudVtjHg,JD Gaming,Jul 20,Bilibili,,,lol,2.73,1.43
BPpUA1OCcXnsOU4On9NZ,Resolve,Jul 17,SAUDADE,,,rocket-league,1.17,4.40
BdbttL6Xtj6GEvKCg6vK,W7M,Jul 10,9z Academy,,W7M,csgo,1.26,3.44
Bk3dVAVfqtxpbs8n0Vsc,Qing Jiu Club,Jul 13,UU Gamers,,Qing Jiu Club,hok,1.55,2.27
C3vJ7hD63Mn5Zv1OKjk7,Xianyou,Jul 13,HI,,Xianyou,hok,2.10,1.64
C66UQvs2WwcGUuMHGXjo,Disguised,Jul 10,LaZe,,Disguised,valorant,1.77,1.91
C8Y7UzYdykEjWiLFmzmT,Fatima Kline,Jul 13,Jasmine Jasudavicius,,Jasmine Jasudavicius,mma,1.84,1.86
COGWsKVL5IOK0d4admEp,JJROX,Jul 17,Endpoint CeX,,,rocket-league,1.84,1.84
D6kdZ9BLVdGXtRTTWcb8,HEROIC,Jul 10,Gaimin Gladiators,2.05,HEROIC,dota2,6.32,2.28
DRB6E9c3mHEc19qpBwrA,Qing Jiu,Jul 11,All Gamers,,Qing Jiu,codm,1.23,3.66
DmhyIQYMwsIeXKAtugmj,Falcons AP.Bren,Jul 11,See You Soon,,Falcons AP.Bren,mlbb,1.16,4.18
E2k0XqqMOc6f2gkh0KIT,Amanda Serrano,Nov 16,Katie Taylor,,,boxing,2.20,1.59
EDcYBxm1qmq90veCPBie,HI,Jul 14,Lotus,,HI,hok,1.55,2.20
EEUt0uH511yOhBltzzR3,Sharks,Jul 9,KRU,,KRU,csgo,1.53,2.31
EMcsS7sZxjeocH3c9Bnc,Zennit,Jul 9,Once Upon A Team,,Zennit,lol,1.16,4.37
Ehhtlz7ne6OoDrjWMgAs,NIP Flash,Jul 11,HomeBois,,NIP Flash,mlbb,2.53,1.43
F3yA1yyQmhVIeJlu1OUP,Christian Rodriguez,Jul 14,Julian Erosa,,Julian Erosa,mma,1.41,2.69
FX3stKDjDTa87Y4xvoLF,XLD,Jul 9,STELLAE,,XLD,valorant,2.26,1.55
FhfT3BDOwc5kShrm3IsS,SSG Landers,Jul 18,LG Twins,,,baseball,1.87,1.83
FvePfQj7QMPf33PeomLj,ThunderTalk,Jul 10,Invictus,,ThunderTalk,lol,1.70,2.10
FzPpxsNQd3aSiB6cWJFs,Parakeet,Jul 9,Entropiq,,Entropiq,lol,4.73,1.14
G67X8p7fhhCAfcXOj77U,Kai Lun,Jul 14,BOA,,Kai Lun,hok,1.99,1.71
GLYNNYd3aOxqYp8PpmAU,Movistar KOI,Jul 20,UCAM Tokiers,,,lol,1.37,2.76
GXe14kjclaihPLyLVJk4,MKERS,Jul 18,Arial Arise,,,r6,1.32,3.01
GYTM9aTj7XOErgOZ0AEj,Titan King's Legion,Jul 11,JD Gaming,,JD Gaming,hok,1.60,2.17
Gj9dkz05z8gHaVCRyuPM,All Gamers,Jul 13,Kingzone,,All Gamers,codm,1.60,2.17
GxTKJ42r7GyRpcouv4dc,Ravena Oliveira,Jul 27,Shauna Bannon,,,mma,1.67,2.07
HCuBDbl819Mf2dOXPZf8,Ilha das Lendas,Jul 9,Liberty Academy,,Ilha das Lendas,lol,1.28,3.22
HNnesvGmuVtHlVleIl51,Seungwoo Choi,Jul 21,Steve Garcia,,,mma,2.14,1.63
HYsAnTVNkc0ZuXN8TwQG,Bruno Silva,Jul 20,Cody Durden,,,mma,2.14,1.63
HZbBzqPPEsOin7hKDGZu,Oxygen,Jul 17,Jobless,,,rocket-league,1.31,3.08
HclS7GnPH7OsWfwiPaR1,Mighty Tiger,Jul 13,eStar,,Mighty Tiger,codm,1.52,2.33
HmUn4lBy8ufWL0Dsji4N,Heretics,Jul 10,KOI,,Heretics,valorant,1.09,5.94
Hr0atf4llkvj6cgZth5n,Invictus,Jul 19,EDward Gaming,,,lol,2.51,1.50
IHlOVchUqj0pWTykGxD7,Hanwha Eagles,Jul 18,NC Dinos,,,baseball,1.78,1.92
IMGbcuac5KJCgbrWW9ee,Hyder Amil,Jul 20,Jeong Yeong Lee,,,mma,2.47,1.48
J9gyRVYNbCZ5zUF0LPdU,Red Canids,Jul 9,Bounty Hunters,,Red Canids,csgo,1.14,4.79
JAN4jLLFkLl8cUG5eqUU,Fake GA,Jul 17,SAUDADE,,,rocket-league,1.60,2.16
JnSJ5unow57hiOisgqiO,Endpoint CeX,Jul 17,Jobless,,,rocket-league,2.19,1.59
JurB8nqYPusP3IChRzVF,El Aguila de Veracruz,Jul 18,Olmecas De Tabasco,,,baseball,2.06,1.67
K4OouvBisMRjhspQ0PLk,Blacklisted,Jul 10,SESH,,Blacklisted,r6,1.28,3.26
KHzzJMQ8JPie1ilU50nT,Oxygen,Jul 17,JJROX,,,rocket-league,1.15,4.63
KIslWZ7ikjEf54FFc1oC,Spacestation Academy,Jul 18,FLUFFY AIMERS,,,r6,1.65,2.08
KJAC82lBOnshxRojXW6M,DarkZero,Jul 31,Geekay,,,r6,1.35,2.79
KTxzl0vIuIjNq3biAGQB,LG x Complexity,Jul 17,Fake GA,,,rocket-league,1.17,4.34
KZABQ34s3PZ3AGIgwaJX,Team WE,Jul 20,Oh My God,,,lol,1.42,2.75
KxPmGvcRrToQWUabfWLK,Falcons,Jul 10,Spirit,1.92,Spirit,dota2,2.89,4.59
