id,Unnamed: 0,left_team_name,date,right_team_name,draw_odds,winner,game,left_odds,right_odds,formatted_date
FhfT3BDOwc5kShrm3IsS,68,SSG Landers,2024-07-18,LG Twins,,Draw,baseball,1.87,1.83,July 18 2024
IHlOVchUqj0pWTykGxD7,84,Hanwha Eagles,2024-07-18,NC Dinos,,NC Dinos,baseball,1.78,1.92,July 18 2024
JurB8nqYPusP3IChRzVF,89,El Aguila de Veracruz,2024-07-18,Olmecas De Tabasco,,Olmecas De Tabasco,baseball,2.06,1.67,July 18 2024
MjixbSwgiqi4iTD0QLUJ,109,Vaqueros De La Laguna,2024-07-18,Tecolotes de los Dos Laredos,,Tecolotes de los Dos Laredos,baseball,2.1,1.65,July 18 2024
Xa0Mpn8u5ynpwOykps5Z,150,Guerreros De Oaxaca,2024-07-18,Piratas de Campeche,,Guerreros De Oaxaca,baseball,1.61,2.17,July 18 2024
XjhnNLMDOVT9ymdKN3Fg,152,Saraperos De Saltillo,2024-07-18,Toros de Tijuana,,Toros de Tijuana,baseball,2.1,1.65,July 18 2024
blovb3aUFX34LhsD1W6U,168,Generales De Durango,2024-07-18,Acereros del Norte Monclova,,Generales De Durango,baseball,2.56,1.45,July 18 2024
cmQAIejSPoFioftD6dAE,171,KT Wiz,2024-07-18,Kiwoom Heroes,,KT Wiz,baseball,1.5,2.42,July 18 2024
iwMXHQ2dQnUmQU4TNgin,192,Bravos De Leon,2024-07-18,Pericos de Puebla,,Bravos De Leon,baseball,2.44,1.49,July 18 2024
k86lAVmFvRlTuX4sDMW8,198,Samsung Lions,2024-07-18,Kia Tigers,,Kia Tigers,baseball,2.05,1.68,July 18 2024
xuyGchxdy6KHkCxdXxnH,239,Leones de Yucatan,2024-07-18,Conspiradores de Queretaro,,Draw,baseball,1.86,1.84,July 18 2024
PMe8Isv8pXOXgXdki8Cr,116,Elhem Mekhaled,2024-07-20,Chantelle Cameron,,Draw,boxing,7.67,1.05,July 20 2024
SUMn4vN4HC9BETSTMMKa,130,Brad Pauls,2024-07-20,Nathan Heaney,,Draw,boxing,2.5,1.46,July 20 2024
opPm17BJ8hcs2vHA1NvM,219,Ashley Lane,2024-07-20,Andrew Cain,,Draw,boxing,9.21,1.03,July 20 2024
MVArsRWavX4zm9kHNP5a,108,Atlanta FaZe,2024-07-18,Miami Heretics,,Miami Heretics,cod,1.13,4.14,July 18 2024
SILMUarqnPwODJitTdF4,128,Toronto Ultra,2024-07-18,Los Angeles Thieves,,Los Angeles Thieves,cod,1.3,2.93,July 18 2024
fdax0omXpkyDdgEhwCIc,179,OpTic Texas,2024-07-18,Los Angeles Guerrillas,,OpTic Texas,cod,1.27,3.08,July 18 2024
z8KcIdpjdnYpqZ3NGcbV,242,New York Subliners,2024-07-18,Seattle Surge,,Miami Heretics,cod,1.29,2.98,July 18 2024
13J6YPCwRZH4FfCc31jF,3,Vitality,2024-07-17,M80,,Vitality,csgo,1.09,6.34,July 17 2024
RciGOoKFXOjoxKGgaVUg,124,G2,2024-07-17,TheMongolZ,,G2,csgo,1.58,2.2,July 17 2024
ZzWdmmHncgJqqqSrRM07,160,Natus Vincere,2024-07-17,FURIA,,Natus Vincere,csgo,1.27,3.34,July 17 2024
jcwGMc0oX53L1wpt5O0D,194,FaZe,2024-07-17,FlyQuest,,G2,csgo,1.11,5.51,July 17 2024
nOiwtX6mULY20G6N9X33,209,Virtus.pro,2024-07-17,Complexity,,Virtus.pro,csgo,1.63,2.12,July 17 2024
npJtmc0KdH1CJXZgw3Zg,211,Spirit,2024-07-17,MIBR,,Spirit,csgo,1.11,5.67,July 17 2024
ReeH1iGoV6ybz9vLSJ6g,125,Imperial,2024-07-18,T2M4SS,,Imperial,csgo,1.02,10.1,July 18 2024
2zyI7SBsu8OzDwQkCCyG,9,Frank,2024-07-19,West Point Ph,,Frank,lol,1.02,10.52,July 19 2024
9T4Sq7K3zecjNK5QOWyX,41,Gen.G Global Academy,2024-07-19,BRION Challengers,,Gen.G Global Academy,lol,2.41,1.48,July 19 2024
Hr0atf4llkvj6cgZth5n,83,Invictus,2024-07-19,EDward Gaming,,Invictus,lol,2.51,1.5,July 19 2024
